Quest,Completion,Points,Epoch
NATIVE_TOKEN_TRANSFER_OUT,17099.0,2500.0,5
NATIVE_TOKEN_TRANSFER_IN,12733.0,1000.0,5
LP_ANY_TOKEN,9995.0,5000.0,5
BTC_TRANSFER_IN,5239.0,2500.0,5
ETH_TRANSFER_IN,6320.0,2500.0,5
BNB_TRANSFER_IN,10824.0,2500.0,5
NATIVE_TOKEN_TRANSFER_OUT,43598.0,2500.0,6
NATIVE_TOKEN_TRANSFER_IN,43863.0,1000.0,6
LP_ANY_TOKEN,37770.0,5000.0,6
BTC_TRANSFER_IN,28733.0,2500.0,6
ETH_TRANSFER_IN,30706.0,2500.0,6
BNB_TRANSFER_IN,39015.0,2500.0,6
NATIVE_TOKEN_TRANSFER_OUT,45401.0,2500.0,7
NATIVE_TOKEN_TRANSFER_IN,44487.0,1000.0,7
LP_ANY_TOKEN,35552.0,5000.0,7
BTC_TRANSFER_IN,30933.0,2500.0,7
ETH_TRANSFER_IN,32192.0,2500.0,7
BNB_TRANSFER_IN,37756.0,2500.0,7
NATIVE_TOKEN_TRANSFER_OUT,39095.0,2500.0,8
NATIVE_TOKEN_TRANSFER_IN,37512.0,1000.0,8
LP_ANY_TOKEN,27123.0,5000.0,8
BTC_TRANSFER_IN,29802.0,2500.0,8
ETH_TRANSFER_IN,30541.0,2500.0,8
BNB_TRANSFER_IN,33443.0,2500.0,8
NATIVE_TOKEN_TRANSFER_OUT,18211.0,2500.0,9
NATIVE_TOKEN_TRANSFER_IN,13724.0,1000.0,9
LP_ANY_TOKEN,12669.0,5000.0,9
BTC_TRANSFER_IN,10808.0,2500.0,9
ETH_TRANSFER_IN,10574.0,2500.0,9
BNB_TRANSFER_IN,11695.0,2500.0,9
NATIVE_TOKEN_TRANSFER_OUT,224460.0,2500.0,10
NATIVE_TOKEN_TRANSFER_IN,228752.0,1000.0,10
LP_ANY_TOKEN,212308.0,5000.0,10
BTC_TRANSFER_IN,205032.0,2500.0,10
ETH_TRANSFER_IN,208765.0,2500.0,10
BNB_TRANSFER_IN,222081.0,2500.0,10
NATIVE_TOKEN_TRANSFER_OUT,506496.0,2500.0,11
NATIVE_TOKEN_TRANSFER_IN,510854.0,1000.0,11
LP_ANY_TOKEN,459392.0,5000.0,11
BTC_TRANSFER_IN,453609.0,2500.0,11
ETH_TRANSFER_IN,460911.0,2500.0,11
BNB_TRANSFER_IN,476529.0,2500.0,11
NATIVE_TOKEN_TRANSFER_OUT,623922.0,2500.0,12
NATIVE_TOKEN_TRANSFER_IN,623637.0,1000.0,12
LP_ANY_TOKEN,581207.0,5000.0,12
BTC_TRANSFER_IN,589103.0,2500.0,12
ETH_TRANSFER_IN,595451.0,2500.0,12
BNB_TRANSFER_IN,607252.0,2500.0,12
DEFI1_SWAP,343890.0,2500.0,12
DEPOSIT_VAULT,326849.0,2500.0,12
DEFI2_DEPOSIT,500749.0,2500.0,12
NATIVE_TOKEN_TRANSFER_OUT,639817.0,2500.0,13
NATIVE_TOKEN_TRANSFER_IN,636543.0,1000.0,13
LP_ANY_TOKEN,591937.0,5000.0,13
BTC_TRANSFER_IN,602614.0,2500.0,13
ETH_TRANSFER_IN,613830.0,2500.0,13
BNB_TRANSFER_IN,621445.0,2500.0,13
DEFI1_SWAP,375087.0,2500.0,13
DEPOSIT_VAULT,390502.0,2500.0,13
DEFI2_DEPOSIT,518619.0,2500.0,13
NATIVE_TOKEN_TRANSFER_OUT,722896.0,2500.0,14
NATIVE_TOKEN_TRANSFER_IN,714787.0,1000.0,14
LP_ANY_TOKEN,646521.0,5000.0,14
BTC_TRANSFER_IN,679830.0,2500.0,14
ETH_TRANSFER_IN,700197.0,2500.0,14
BNB_TRANSFER_IN,696911.0,2500.0,14
DEFI1_SWAP,408164.0,2500.0,14
DEPOSIT_VAULT,459757.0,2500.0,14
DEFI2_DEPOSIT,617949.0,2500.0,14
DEFI3_STAKE,500646.0,2500.0,14
DEFI4_SWAP,481295.0,2500.0,14
GAME1_MINT,439616.0,2500.0,14
NATIVE_TOKEN_TRANSFER_OUT,701366.0,2500.0,15
NATIVE_TOKEN_TRANSFER_IN,696646.0,1000.0,15
LP_ANY_TOKEN,640108.0,5000.0,15
BTC_TRANSFER_IN,651483.0,2500.0,15
ETH_TRANSFER_IN,696829.0,2500.0,15
BNB_TRANSFER_IN,692148.0,2500.0,15
DEFI1_SWAP,426080.0,2500.0,15
DEPOSIT_VAULT,368902.0,2500.0,15
DEFI2_DEPOSIT,583424.0,2500.0,15
DEFI3_STAKE,534534.0,2500.0,15
DEFI4_SWAP,471323.0,2500.0,15
GAME1_MINT,249571.0,2500.0,15
NATIVE_TOKEN_TRANSFER_OUT,637606.0,2500.0,16
NATIVE_TOKEN_TRANSFER_IN,632018.0,1000.0,16
LP_ANY_TOKEN,552737.0,5000.0,16
BTC_TRANSFER_IN,586480.0,2500.0,16
ETH_TRANSFER_IN,610378.0,2500.0,16
BNB_TRANSFER_IN,596746.0,2500.0,16
DEFI1_SWAP,332307.0,2500.0,16
DEPOSIT_VAULT,397134.0,2500.0,16
DEFI2_DEPOSIT,471891.0,2500.0,16
DEFI3_STAKE,484963.0,2500.0,16
DEFI4_SWAP,420191.0,2500.0,16
GAME1_MINT,323770.0,2500.0,16
GAM2_BUY,9737.0,2500.0,16
DEFI5_SWAP,361304.0,2500.0,16
NATIVE_TOKEN_TRANSFER_OUT,555198.0,2500.0,17
NATIVE_TOKEN_TRANSFER_IN,551074.0,1000.0,17
LP_ANY_TOKEN,504285.0,5000.0,17
BTC_TRANSFER_IN,537904.0,2500.0,17
ETH_TRANSFER_IN,549529.0,2500.0,17
BNB_TRANSFER_IN,556157.0,2500.0,17
DEFI1_SWAP,345462.0,2500.0,17
DEPOSIT_VAULT,409185.0,2500.0,17
DEFI2_DEPOSIT,491976.0,2500.0,17
DEFI3_STAKE,448669.0,2500.0,17
DEFI4_SWAP,392413.0,2500.0,17
GAME1_MINT,296436.0,2500.0,17
GAM2_BUY,17831.0,2500.0,17
DEFI5_SWAP,380326.0,2500.0,17
NATIVE_TOKEN_TRANSFER_OUT,529808.0,2500.0,18
NATIVE_TOKEN_TRANSFER_IN,527315.0,1000.0,18
LP_ANY_TOKEN,474884.0,5000.0,18
BTC_TRANSFER_IN,504718.0,2500.0,18
ETH_TRANSFER_IN,521976.0,2500.0,18
BNB_TRANSFER_IN,520189.0,2500.0,18
DEFI1_SWAP,336624.0,2500.0,18
DEPOSIT_VAULT,367306.0,2500.0,18
DEFI2_DEPOSIT,472498.0,2500.0,18
DEFI3_STAKE,422660.0,2500.0,18
DEFI4_SWAP,369797.0,2500.0,18
GAM2_BUY,9837.0,2500.0,18
DEFI5_SWAP,358705.0,2500.0,18
DEFI8_DEPOSIT,17049.0,2500.0,18
BUY_DOMAIN_ID,68374.0,2500.0,18
NATIVE_TOKEN_TRANSFER_OUT,527018.0,2500.0,19
NATIVE_TOKEN_TRANSFER_IN,525171.0,1000.0,19
LP_ANY_TOKEN,479208.0,5000.0,19
BTC_TRANSFER_IN,499715.0,2500.0,19
ETH_TRANSFER_IN,523282.0,2500.0,19
BNB_TRANSFER_IN,515106.0,2500.0,19
DEFI1_SWAP,325026.0,2500.0,19
DEPOSIT_VAULT,377120.0,2500.0,19
DEFI2_DEPOSIT,473998.0,2500.0,19
DEFI3_STAKE,428568.0,2500.0,19
DEFI4_SWAP,366233.0,2500.0,19
GAM2_BUY,32452.0,2500.0,19
DEFI5_SWAP,350539.0,2500.0,19
DEFI8_DEPOSIT,15261.0,2500.0,19
BUY_DOMAIN_ID,26291.0,2500.0,19
NATIVE_TOKEN_TRANSFER_OUT,508456.0,2500.0,20
NATIVE_TOKEN_TRANSFER_IN,505751.0,1000.0,20
LP_ANY_TOKEN,459525.0,5000.0,20
BTC_TRANSFER_IN,476618.0,2500.0,20
ETH_TRANSFER_IN,502842.0,2500.0,20
BNB_TRANSFER_IN,499152.0,2500.0,20
DEFI1_SWAP,278849.0,2500.0,20
DEPOSIT_VAULT,367781.0,2500.0,20
DEFI2_DEPOSIT,464053.0,2500.0,20
DEFI3_STAKE,417055.0,2500.0,20
DEFI4_SWAP,362347.0,2500.0,20
DEFI5_SWAP,349062.0,2500.0,20
DEFI8_DEPOSIT,14456.0,2500.0,20
NFT1_SELL_OR_MINT,34531.0,2500.0,20
BUY_DOMAIN_ID,21494.0,2500.0,20
GAME1_PLAY,155831.0,2500.0,20
NATIVE_TOKEN_TRANSFER_OUT,494231.0,2500.0,21
NATIVE_TOKEN_TRANSFER_IN,490610.0,1000.0,21
LP_ANY_TOKEN,452924.0,5000.0,21
BTC_TRANSFER_IN,458736.0,2500.0,21
ETH_TRANSFER_IN,483761.0,2500.0,21
BNB_TRANSFER_IN,485080.0,2500.0,21
DEFI1_SWAP,270568.0,2500.0,21
DEPOSIT_VAULT,359016.0,2500.0,21
DEFI2_DEPOSIT,449391.0,2500.0,21
DEFI3_STAKE,405654.0,2500.0,21
DEFI4_SWAP,298232.0,2500.0,21
DEFI5_SWAP,311861.0,2500.0,21
DEFI8_DEPOSIT,14331.0,2500.0,21
NFT1_SELL_OR_MINT,69818.0,2500.0,21
BUY_DOMAIN_ID,19875.0,2500.0,21
GAME1_PLAY,164498.0,2500.0,21
NATIVE_TOKEN_TRANSFER_OUT,338659.0,2500.0,22
NATIVE_TOKEN_TRANSFER_IN,334794.0,1000.0,22
LP_ANY_TOKEN,297718.0,5000.0,22
BTC_TRANSFER_IN,320034.0,2500.0,22
ETH_TRANSFER_IN,340849.0,2500.0,22
BNB_TRANSFER_IN,337169.0,2500.0,22
DEFI1_SWAP,162633.0,2500.0,22
DEPOSIT_VAULT,239229.0,2500.0,22
DEFI2_DEPOSIT,311375.0,2500.0,22
DEFI3_STAKE,268104.0,2500.0,22
DEFI4_SWAP,216196.0,2500.0,22
DEFI5_SWAP,199744.0,2500.0,22
DEFI8_DEPOSIT,11377.0,2500.0,22
NFT1_SELL_OR_MINT,44798.0,2500.0,22
BUY_DOMAIN_ID,11081.0,2500.0,22
GAME1_PLAY,124135.0,2500.0,22
NATIVE_TOKEN_TRANSFER_OUT,185501.0,2500.0,23
NATIVE_TOKEN_TRANSFER_IN,183593.0,1000.0,23
