Quest,Epoch,Completion,Reward
BTC_TRANSFER_IN,43,"15,605",NO
BTC_TRANSFER_IN,44,"16,985",NO
BTC_TRANSFER_IN,45,"13,502",NO
BTC_TRANSFER_IN,46,"7,017",NO
BTC_TRANSFER_IN,47,"8,657",NO
BTC_TRANSFER_IN,48,"7,943",NO
DEFI3_STAKE,43,"20,344",NO
DEFI3_STAKE,44,"21,429",NO
DEFI3_STAKE,45,"18,240",NO
DEFI3_STAKE,46,"12,678",NO
DEFI3_STAKE,47,"33,794",YES
DEFI3_STAKE,48,"11,666",NO
DEFI5_LEND,43,"3,372",NO
DEFI5_LEND,44,"3,555",NO
DEFI5_LEND,45,"44,196",YES
DEFI5_LEND,46,"3,900",NO
DEFI5_LEND,47,"3,524",NO
DEFI5_LEND,48,"3,308",NO
DEFI4_SWAP_WITH_THRESHOLD,43,"4,547",NO
DEFI4_SWAP_WITH_THRESHOLD,44,"4,446",NO
DEFI4_SWAP_WITH_THRESHOLD,45,"4,439",NO
DEFI4_SWAP_WITH_THRESHOLD,46,"4,443",NO
DEFI4_SWAP_WITH_THRESHOLD,47,"4,574",NO
DEFI4_SWAP_WITH_THRESHOLD,48,"40,738",YES
BRIDGE_TOKEN1_FROM_BASE,46,"52,484",YES
BRIDGE_TOKEN1_FROM_BASE,47,"6,631",NO
BRIDGE_TOKEN1_FROM_BASE,48,"6,577",NO
BRIDGE_TOKEN3_FROM_ETHEREUM,43,215,NO
BRIDGE_TOKEN3_FROM_ETHEREUM,44,242,NO
BRIDGE_TOKEN3_FROM_ETHEREUM,45,127,NO
BRIDGE_TOKEN3_FROM_ETHEREUM,46,108,YES
BRIDGE_TOKEN3_FROM_ETHEREUM,47,180,NO
BRIDGE_TOKEN3_FROM_ETHEREUM,48,153,NO
