Quest,Epoch,Completion,Cost
NATIVE_TOKEN_TRANSFER_OUT,37,"20,157",$0.00021981
NATIVE_TOKEN_TRANSFER_OUT,38,"16,743",$0.00015572
NATIVE_TOKEN_TRANSFER_OUT,39,"19,395",$0.00014528
NATIVE_TOKEN_TRANSFER_OUT,40,"17,716",$0.00015152
NATIVE_TOKEN_TRANSFER_OUT,41,"13,641",$0.00015136
NATIVE_TOKEN_TRANSFER_OUT,42,"17,449",$0.00022380
NATIVE_TOKEN_TRANSFER_OUT,43,"20,252",$0.00024273
NATIVE_TOKEN_TRANSFER_OUT,44,"18,923",$0.00016824
NATIVE_TOKEN_TRANSFER_OUT,45,"21,075",$0.00019605
NATIVE_TOKEN_TRANSFER_OUT,46,"20,665",$0.00020448
NATIVE_TOKEN_TRANSFER_IN,37,"20,180",$0.00021899
NATIVE_TOKEN_TRANSFER_IN,38,"16,717",$0.00015565
NATIVE_TOKEN_TRANSFER_IN,39,"19,524",$0.00014561
NATIVE_TOKEN_TRANSFER_IN,40,"17,571",$0.00015201
NATIVE_TOKEN_TRANSFER_IN,41,"17,499",$0.00015160
NATIVE_TOKEN_TRANSFER_IN,42,"17,119",$0.00022289
NATIVE_TOKEN_TRANSFER_IN,43,"20,077",$0.00024218
NATIVE_TOKEN_TRANSFER_IN,44,"18,509",$0.00016777
NATIVE_TOKEN_TRANSFER_IN,45,"20,571",$0.00019669
NATIVE_TOKEN_TRANSFER_IN,46,"20,915",$0.00020372
BRIDGE_TOKEN1_FROM_POLYGON,37,"7,385",$0.01999764
BRIDGE_TOKEN1_FROM_POLYGON,38,"7,970",$0.02093368
BRIDGE_TOKEN1_FROM_POLYGON,39,"8,031",$0.01567588
BRIDGE_TOKEN1_FROM_POLYGON,40,"7,362",$0.01441098
BRIDGE_TOKEN1_FROM_POLYGON,41,"6,631",$0.01692448
BRIDGE_TOKEN1_FROM_POLYGON,42,"6,968",$0.02577495
BRIDGE_TOKEN1_FROM_POLYGON,43,"7,109",$0.02356395
BRIDGE_TOKEN1_FROM_POLYGON,44,"9,377",$0.02227469
BRIDGE_TOKEN1_FROM_POLYGON,45,"8,989",$0.02074665
BRIDGE_TOKEN1_FROM_POLYGON,46,"7,353",$0.02495663
SOCIAL_BUY,37,"10,747",$0.42861608
SOCIAL_BUY,38,"10,087",$0.32625140
SOCIAL_BUY,39,"9,454",$0.30665791
SOCIAL_BUY,40,"8,271",$0.32613517
SOCIAL_BUY,41,"7,210",$0.28659522
SOCIAL_BUY,42,"7,874",$0.44202238
SOCIAL_BUY,43,"7,504",$0.47778116
SOCIAL_BUY,44,"12,304",$0.42661193
SOCIAL_BUY,45,"8,907",$0.39781876
SOCIAL_BUY,46,"8,710",$0.46999793
DEFI4_SWAP_WITH_THRESHOLD,37,"7,924",$0.19997640
DEFI4_SWAP_WITH_THRESHOLD,38,"7,020",$0.15700260
DEFI4_SWAP_WITH_THRESHOLD,39,"6,476",$0.14492340
DEFI4_SWAP_WITH_THRESHOLD,40,"5,917",$0.13359990
DEFI4_SWAP_WITH_THRESHOLD,41,"5,653",$0.13782150
DEFI4_SWAP_WITH_THRESHOLD,42,"5,937",$0.21268800
DEFI4_SWAP_WITH_THRESHOLD,43,"4,547",$0.21133590
DEFI4_SWAP_WITH_THRESHOLD,44,"4,446",$0.17701740
DEFI4_SWAP_WITH_THRESHOLD,45,"4,439",$0.17463510
DEFI4_SWAP_WITH_THRESHOLD,46,"4,443",$0.20364450
DEFI7_SWAP,37,"2,049",$0.66658800
DEFI7_SWAP,38,"1,796",$0.52334200
DEFI7_SWAP,39,"1,531",$0.48307800
DEFI7_SWAP,40,"1,310",$0.44533300
DEFI7_SWAP,41,"1,294",$0.45940500
DEFI7_SWAP,42,"1,583",$0.70896000
DEFI7_SWAP,43,"1,454",$0.70445300
DEFI7_SWAP,44,"1,487",$0.59005800
DEFI7_SWAP,45,"1,475",$0.58211700
DEFI7_SWAP,46,"1,079",$0.67881500
BRIDGE_TOKEN1_FROM_ETHEREUM,37,"1,130",$6.08647601
BRIDGE_TOKEN1_FROM_ETHEREUM,38,"1,103",$4.49175757
BRIDGE_TOKEN1_FROM_ETHEREUM,39,937,$4.98639505
BRIDGE_TOKEN1_FROM_ETHEREUM,40,847,$4.69737945
BRIDGE_TOKEN1_FROM_ETHEREUM,41,773,$5.00184726
BRIDGE_TOKEN1_FROM_ETHEREUM,42,304,$5.71515535
BRIDGE_TOKEN1_FROM_ETHEREUM,43,220,$4.97994988
BRIDGE_TOKEN1_FROM_ETHEREUM,44,238,$5.23961670
BRIDGE_TOKEN1_FROM_ETHEREUM,45,119,$4.35750955
BRIDGE_TOKEN1_FROM_ETHEREUM,46,104,$6.07924157
BRIDGE_TOKEN2_FROM_ETHEREUM,37,"1,089",$6.05984821
BRIDGE_TOKEN2_FROM_ETHEREUM,38,"1,075",$4.54456357
BRIDGE_TOKEN2_FROM_ETHEREUM,39,921,$5.01166245
BRIDGE_TOKEN2_FROM_ETHEREUM,40,826,$4.67514165
BRIDGE_TOKEN2_FROM_ETHEREUM,41,763,$4.95294546
BRIDGE_TOKEN2_FROM_ETHEREUM,42,297,$5.74073155
BRIDGE_TOKEN2_FROM_ETHEREUM,43,214,$5.03391348
BRIDGE_TOKEN2_FROM_ETHEREUM,44,233,$5.16710910
BRIDGE_TOKEN2_FROM_ETHEREUM,45,112,$4.35263813
BRIDGE_TOKEN2_FROM_ETHEREUM,46,97,$6.07818430
BRIDGE_TOKEN3_FROM_ETHEREUM,37,966,$6.05931566
BRIDGE_TOKEN3_FROM_ETHEREUM,38,989,$4.57070254
BRIDGE_TOKEN3_FROM_ETHEREUM,39,864,$5.01418919
BRIDGE_TOKEN3_FROM_ETHEREUM,40,807,$4.67291787
BRIDGE_TOKEN3_FROM_ETHEREUM,41,738,$4.95783564
BRIDGE_TOKEN3_FROM_ETHEREUM,42,311,$5.73561631
BRIDGE_TOKEN3_FROM_ETHEREUM,43,215,$5.02312076
BRIDGE_TOKEN3_FROM_ETHEREUM,44,242,$5.16227526
BRIDGE_TOKEN3_FROM_ETHEREUM,45,127,$4.35020242
BRIDGE_TOKEN3_FROM_ETHEREUM,46,108,$6.07289798
